"","Rank","Title","Link","NA.","Rating","VoteCount","Description","MetaScore"
"1","1"," The Shawshank Redemption","https://imdb.com/title/tt0111161/?ref_=chttp_t_1","https://imdb.com/title/tt0111161/?ref_=chttp_t_1","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"2","2"," The Godfather","https://imdb.com/title/tt0068646/?ref_=chttp_t_2","https://imdb.com/title/tt0068646/?ref_=chttp_t_2","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"3","3"," The Dark Knight","https://imdb.com/title/tt0468569/?ref_=chttp_t_3","https://imdb.com/title/tt0468569/?ref_=chttp_t_3","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"4","4"," The Godfather Part II","https://imdb.com/title/tt0071562/?ref_=chttp_t_4","https://imdb.com/title/tt0071562/?ref_=chttp_t_4","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"5","5"," 12 Angry Men","https://imdb.com/title/tt0050083/?ref_=chttp_t_5","https://imdb.com/title/tt0050083/?ref_=chttp_t_5","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"6","6"," Schindler's List","https://imdb.com/title/tt0108052/?ref_=chttp_t_6","https://imdb.com/title/tt0108052/?ref_=chttp_t_6","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"7","7"," The Lord of the Rings: The Return of the King","https://imdb.com/title/tt0167260/?ref_=chttp_t_7","https://imdb.com/title/tt0167260/?ref_=chttp_t_7","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"8","8"," Pulp Fiction","https://imdb.com/title/tt0110912/?ref_=chttp_t_8","https://imdb.com/title/tt0110912/?ref_=chttp_t_8","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"9","9"," The Lord of the Rings: The Fellowship of the Ring","https://imdb.com/title/tt0120737/?ref_=chttp_t_9","https://imdb.com/title/tt0120737/?ref_=chttp_t_9","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"10","10"," The Good, the Bad and the Ugly","https://imdb.com/title/tt0060196/?ref_=chttp_t_10","https://imdb.com/title/tt0060196/?ref_=chttp_t_10","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"11","11"," Forrest Gump","https://imdb.com/title/tt0109830/?ref_=chttp_t_11","https://imdb.com/title/tt0109830/?ref_=chttp_t_11","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"12","12"," Fight Club","https://imdb.com/title/tt0137523/?ref_=chttp_t_12","https://imdb.com/title/tt0137523/?ref_=chttp_t_12","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"13","13"," The Lord of the Rings: The Two Towers","https://imdb.com/title/tt0167261/?ref_=chttp_t_13","https://imdb.com/title/tt0167261/?ref_=chttp_t_13","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"14","14"," Inception","https://imdb.com/title/tt1375666/?ref_=chttp_t_14","https://imdb.com/title/tt1375666/?ref_=chttp_t_14","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"15","15"," Star Wars: Episode V - The Empire Strikes Back","https://imdb.com/title/tt0080684/?ref_=chttp_t_15","https://imdb.com/title/tt0080684/?ref_=chttp_t_15","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"16","16"," The Matrix","https://imdb.com/title/tt0133093/?ref_=chttp_t_16","https://imdb.com/title/tt0133093/?ref_=chttp_t_16","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"17","17"," Goodfellas","https://imdb.com/title/tt0099685/?ref_=chttp_t_17","https://imdb.com/title/tt0099685/?ref_=chttp_t_17","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"18","18"," One Flew Over the Cuckoo's Nest","https://imdb.com/title/tt0073486/?ref_=chttp_t_18","https://imdb.com/title/tt0073486/?ref_=chttp_t_18","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"19","19"," Se7en","https://imdb.com/title/tt0114369/?ref_=chttp_t_19","https://imdb.com/title/tt0114369/?ref_=chttp_t_19","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"20","20"," It's a Wonderful Life","https://imdb.com/title/tt0038650/?ref_=chttp_t_20","https://imdb.com/title/tt0038650/?ref_=chttp_t_20","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"21","21"," Seven Samurai","https://imdb.com/title/tt0047478/?ref_=chttp_t_21","https://imdb.com/title/tt0047478/?ref_=chttp_t_21","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"22","22"," Interstellar","https://imdb.com/title/tt0816692/?ref_=chttp_t_22","https://imdb.com/title/tt0816692/?ref_=chttp_t_22","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"23","23"," The Silence of the Lambs","https://imdb.com/title/tt0102926/?ref_=chttp_t_23","https://imdb.com/title/tt0102926/?ref_=chttp_t_23","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"24","24"," Saving Private Ryan","https://imdb.com/title/tt0120815/?ref_=chttp_t_24","https://imdb.com/title/tt0120815/?ref_=chttp_t_24","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"25","25"," City of God","https://imdb.com/title/tt0317248/?ref_=chttp_t_25","https://imdb.com/title/tt0317248/?ref_=chttp_t_25","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"26","26"," Life Is Beautiful","https://imdb.com/title/tt0118799/?ref_=chttp_t_26","https://imdb.com/title/tt0118799/?ref_=chttp_t_26","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"27","27"," The Green Mile","https://imdb.com/title/tt0120689/?ref_=chttp_t_27","https://imdb.com/title/tt0120689/?ref_=chttp_t_27","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"28","28"," Spider-Man: Across the Spider-Verse","https://imdb.com/title/tt9362722/?ref_=chttp_t_28","https://imdb.com/title/tt9362722/?ref_=chttp_t_28","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"29","29"," Star Wars: Episode IV - A New Hope","https://imdb.com/title/tt0076759/?ref_=chttp_t_29","https://imdb.com/title/tt0076759/?ref_=chttp_t_29","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"30","30"," Terminator 2: Judgment Day","https://imdb.com/title/tt0103064/?ref_=chttp_t_30","https://imdb.com/title/tt0103064/?ref_=chttp_t_30","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"31","31"," Back to the Future","https://imdb.com/title/tt0088763/?ref_=chttp_t_31","https://imdb.com/title/tt0088763/?ref_=chttp_t_31","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"32","32"," Spirited Away","https://imdb.com/title/tt0245429/?ref_=chttp_t_32","https://imdb.com/title/tt0245429/?ref_=chttp_t_32","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"33","33"," The Pianist","https://imdb.com/title/tt0253474/?ref_=chttp_t_33","https://imdb.com/title/tt0253474/?ref_=chttp_t_33","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"34","34"," Psycho","https://imdb.com/title/tt0054215/?ref_=chttp_t_34","https://imdb.com/title/tt0054215/?ref_=chttp_t_34","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"35","35"," Parasite","https://imdb.com/title/tt6751668/?ref_=chttp_t_35","https://imdb.com/title/tt6751668/?ref_=chttp_t_35","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"36","36"," Gladiator","https://imdb.com/title/tt0172495/?ref_=chttp_t_36","https://imdb.com/title/tt0172495/?ref_=chttp_t_36","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"37","37"," The Lion King","https://imdb.com/title/tt0110357/?ref_=chttp_t_37","https://imdb.com/title/tt0110357/?ref_=chttp_t_37","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"38","38"," Léon: The Professional","https://imdb.com/title/tt0110413/?ref_=chttp_t_38","https://imdb.com/title/tt0110413/?ref_=chttp_t_38","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"39","39"," American History X","https://imdb.com/title/tt0120586/?ref_=chttp_t_39","https://imdb.com/title/tt0120586/?ref_=chttp_t_39","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"40","40"," The Departed","https://imdb.com/title/tt0407887/?ref_=chttp_t_40","https://imdb.com/title/tt0407887/?ref_=chttp_t_40","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"41","41"," Whiplash","https://imdb.com/title/tt2582802/?ref_=chttp_t_41","https://imdb.com/title/tt2582802/?ref_=chttp_t_41","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"42","42"," The Prestige","https://imdb.com/title/tt0482571/?ref_=chttp_t_42","https://imdb.com/title/tt0482571/?ref_=chttp_t_42","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"43","43"," Grave of the Fireflies","https://imdb.com/title/tt0095327/?ref_=chttp_t_43","https://imdb.com/title/tt0095327/?ref_=chttp_t_43","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"44","44"," The Usual Suspects","https://imdb.com/title/tt0114814/?ref_=chttp_t_44","https://imdb.com/title/tt0114814/?ref_=chttp_t_44","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"45","45"," Harakiri","https://imdb.com/title/tt0056058/?ref_=chttp_t_45","https://imdb.com/title/tt0056058/?ref_=chttp_t_45","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"46","46"," Casablanca","https://imdb.com/title/tt0034583/?ref_=chttp_t_46","https://imdb.com/title/tt0034583/?ref_=chttp_t_46","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"47","47"," The Intouchables","https://imdb.com/title/tt1675434/?ref_=chttp_t_47","https://imdb.com/title/tt1675434/?ref_=chttp_t_47","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"48","48"," Modern Times","https://imdb.com/title/tt0027977/?ref_=chttp_t_48","https://imdb.com/title/tt0027977/?ref_=chttp_t_48","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"49","49"," Cinema Paradiso","https://imdb.com/title/tt0095765/?ref_=chttp_t_49","https://imdb.com/title/tt0095765/?ref_=chttp_t_49","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"50","50"," Once Upon a Time in the West","https://imdb.com/title/tt0064116/?ref_=chttp_t_50","https://imdb.com/title/tt0064116/?ref_=chttp_t_50","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"51","51"," Rear Window","https://imdb.com/title/tt0047396/?ref_=chttp_t_51","https://imdb.com/title/tt0047396/?ref_=chttp_t_51","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"52","52"," Alien","https://imdb.com/title/tt0078748/?ref_=chttp_t_52","https://imdb.com/title/tt0078748/?ref_=chttp_t_52","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"53","53"," City Lights","https://imdb.com/title/tt0021749/?ref_=chttp_t_53","https://imdb.com/title/tt0021749/?ref_=chttp_t_53","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"54","54"," Apocalypse Now","https://imdb.com/title/tt0078788/?ref_=chttp_t_54","https://imdb.com/title/tt0078788/?ref_=chttp_t_54","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"55","55"," Django Unchained","https://imdb.com/title/tt1853728/?ref_=chttp_t_55","https://imdb.com/title/tt1853728/?ref_=chttp_t_55","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"56","56"," Memento","https://imdb.com/title/tt0209144/?ref_=chttp_t_56","https://imdb.com/title/tt0209144/?ref_=chttp_t_56","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"57","57"," Raiders of the Lost Ark","https://imdb.com/title/tt0082971/?ref_=chttp_t_57","https://imdb.com/title/tt0082971/?ref_=chttp_t_57","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"58","58"," WALL·E","https://imdb.com/title/tt0910970/?ref_=chttp_t_58","https://imdb.com/title/tt0910970/?ref_=chttp_t_58","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"59","59"," The Lives of Others","https://imdb.com/title/tt0405094/?ref_=chttp_t_59","https://imdb.com/title/tt0405094/?ref_=chttp_t_59","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"60","60"," Sunset Blvd","https://imdb.com/title/tt0043014/?ref_=chttp_t_60","https://imdb.com/title/tt0043014/?ref_=chttp_t_60","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"61","61"," Paths of Glory","https://imdb.com/title/tt0050825/?ref_=chttp_t_61","https://imdb.com/title/tt0050825/?ref_=chttp_t_61","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"62","62"," Avengers: Infinity War","https://imdb.com/title/tt4154756/?ref_=chttp_t_62","https://imdb.com/title/tt4154756/?ref_=chttp_t_62","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"63","63"," The Shining","https://imdb.com/title/tt0081505/?ref_=chttp_t_63","https://imdb.com/title/tt0081505/?ref_=chttp_t_63","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"64","64"," Spider-Man: Into the Spider-Verse","https://imdb.com/title/tt4633694/?ref_=chttp_t_64","https://imdb.com/title/tt4633694/?ref_=chttp_t_64","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"65","65"," Witness for the Prosecution","https://imdb.com/title/tt0051201/?ref_=chttp_t_65","https://imdb.com/title/tt0051201/?ref_=chttp_t_65","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"66","66"," The Great Dictator","https://imdb.com/title/tt0032553/?ref_=chttp_t_66","https://imdb.com/title/tt0032553/?ref_=chttp_t_66","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"67","67"," Oppenheimer","https://imdb.com/title/tt15398776/?ref_=chttp_t_67","https://imdb.com/title/tt15398776/?ref_=chttp_t_67","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"68","68"," Aliens","https://imdb.com/title/tt0090605/?ref_=chttp_t_68","https://imdb.com/title/tt0090605/?ref_=chttp_t_68","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"69","69"," Inglourious Basterds","https://imdb.com/title/tt0361748/?ref_=chttp_t_69","https://imdb.com/title/tt0361748/?ref_=chttp_t_69","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"70","70"," The Dark Knight Rises","https://imdb.com/title/tt1345836/?ref_=chttp_t_70","https://imdb.com/title/tt1345836/?ref_=chttp_t_70","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"71","71"," American Beauty","https://imdb.com/title/tt0169547/?ref_=chttp_t_71","https://imdb.com/title/tt0169547/?ref_=chttp_t_71","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"72","72"," Dr","https://imdb.com/title/tt0057012/?ref_=chttp_t_72","https://imdb.com/title/tt0057012/?ref_=chttp_t_72","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"73","73"," Oldboy","https://imdb.com/title/tt0364569/?ref_=chttp_t_73","https://imdb.com/title/tt0364569/?ref_=chttp_t_73","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"74","74"," Coco","https://imdb.com/title/tt2380307/?ref_=chttp_t_74","https://imdb.com/title/tt2380307/?ref_=chttp_t_74","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"75","75"," Amadeus","https://imdb.com/title/tt0086879/?ref_=chttp_t_75","https://imdb.com/title/tt0086879/?ref_=chttp_t_75","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"76","76"," Toy Story","https://imdb.com/title/tt0114709/?ref_=chttp_t_76","https://imdb.com/title/tt0114709/?ref_=chttp_t_76","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"77","77"," Das Boot","https://imdb.com/title/tt0082096/?ref_=chttp_t_77","https://imdb.com/title/tt0082096/?ref_=chttp_t_77","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"78","78"," Braveheart","https://imdb.com/title/tt0112573/?ref_=chttp_t_78","https://imdb.com/title/tt0112573/?ref_=chttp_t_78","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"79","79"," Avengers: Endgame","https://imdb.com/title/tt4154796/?ref_=chttp_t_79","https://imdb.com/title/tt4154796/?ref_=chttp_t_79","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"80","80"," Joker","https://imdb.com/title/tt7286456/?ref_=chttp_t_80","https://imdb.com/title/tt7286456/?ref_=chttp_t_80","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"81","81"," Princess Mononoke","https://imdb.com/title/tt0119698/?ref_=chttp_t_81","https://imdb.com/title/tt0119698/?ref_=chttp_t_81","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"82","82"," Good Will Hunting","https://imdb.com/title/tt0119217/?ref_=chttp_t_82","https://imdb.com/title/tt0119217/?ref_=chttp_t_82","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
"83","83"," Your Name","https://imdb.com/title/tt5311514/?ref_=chttp_t_83","https://imdb.com/title/tt5311514/?ref_=chttp_t_83","9.3","2.8M","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","82"
